cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,505,0,buttock_0&high_1&sys_0,{Name}将{TargetName}娇小玲珑的裸体抱到身前，让她背对自己坐在大腿上。\n{TargetName}双腿分开，以M字开脚的姿势跨坐，将粉嫩紧致的花穴对准{Name}昂扬勃发的阳具。\n龟头在花瓣入口摩擦几下，便猛地向上一顶，坚硬滚烫的肉刃劈开紧窄湿滑的阴道，直捣花心。{TargetName}发出一声娇吟，小巧浑圆的翘臀死死抵住{Name}的胯部，肉棒插入了最深处。
1,505,0,buttock_1&high_1&sys_0,{Name}让{TargetName}背对自己，以背面坐位的体位骑在身上，让丰腴白嫩的大腿张开，门户大开地展露出湿润粉嫩的蜜穴。\n{Name}一手搂住{TargetName}纤细的腰肢，一手扶着自己的粗硬阴茎，在阴唇外围滑动几下便腰部发力向上一顶。\n巨大的龟头破开紧致的阴道，强硬地插入到最深处。肥嫩的蜜穴被塞得满满当当。
2,505,0,high_1&buttock_2&sys_0,{Name}让体态丰满的{TargetName}转过身来，丰满圆润的肉臀正对着自己的胯下缓缓坐下，肥美多汁的花穴一点点吞没{Name}狰狞粗壮的阴茎。\n硕大的龟头重重顶在花心，{TargetName}忍不住仰头娇喘，扭动肥嫩滚圆的大屁股主动套弄，丰腴白皙的肉臀在{Name}胯间起伏耸动。
3,505,0,high_1&buttock_0&last_cmd_back_seat_sex&sys_0,{Name}紧紧揽住{TargetName}纤细的腰肢，下身开始有节奏地耸动起来，粗长的肉棒在紧窄湿滑的阴道中快速进出，每一下都顶在最深处。\n娇小的{TargetName}被顶得身子不停耸动，小巧浑圆的翘臀也随之摆动，在{Name}胯间撞击出啪啪的肉浪声。\n肥厚的阴唇被磨得通红，阴蒂也充血肿胀，敏感的花心更是被一下下重重碾过。
4,505,0,high_1&last_cmd_back_seat_sex&buttock_1&sys_0,{Name}双手掐住{TargetName}盈盈一握的细腰，胯下猛烈耸动，粗壮的阳具在紧致多汁的蜜穴中疯狂抽插。\n硕大的龟头来回刮蹭敏感的阴道壁，湿热的嫩肉痉挛般绞紧。\n{TargetName}丰腴滚圆的肥臀不停摆动迎合，臀浪翻飞，啪啪声不绝于耳，每一下都整根没入直抵花心，又快又狠，插得{TargetName}淫水四溅。
5,505,0,high_1&buttock_2&last_cmd_back_seat_sex&sys_0,{Name}扣住{TargetName}的腰，下身像打桩机般疯狂耸动，肉棒在肥美多汁的花穴中快速进出。\n{TargetName}丰满肥嫩的肉臀在{Name}胯间剧烈颠簸着，臀波荡漾，淫水飞溅。\n肉体撞击发出啪啪的淫靡水声。{Name}尽根没入又整根拔出，肉棒摩擦着敏感充血的阴道嫩肉。
6,505,0,high_1&last_cmd_back_seat_sex&buttock_0&sys_0,{Name}挺立的肉棒正在紧致湿润的{TargetName}蜜穴中抽插。\n{TargetName}玲珑有致的翘臀在{Name}胯间起伏，娇小的身躯被{Name}有力的双手掌控着节奏。\n汗水顺着{TargetName}光滑的脊背流淌，她银铃般的娇喘回荡在卧室。
7,505,0,high_1&last_cmd_back_seat_sex&buttock_1&sys_0,{Name}粗大的阳具正在{TargetName}丰腴多汁的蜜壶中驰骋，伴随着{Name}一记深深的顶弄，{TargetName}香汗淋漓的胴体猛然绷紧。\n{TargetName}浑圆挺翘的美臀在{Name}身上摇摆，柔软的臀肉被{Name}大手揉捏变形。\n媚人的呻吟从{TargetName}花瓣般的唇中溢出，整个房间弥漫着旖旎的气息。
8,505,0,high_1&last_cmd_back_seat_sex&buttock_2&sys_0,{Name}狰狞的巨物正在{TargetName}肥美多汁的秘裂中驰骋，淫靡的水声和肉体撞击声此起彼伏，乳肉在{Name}手中变换着形状。\n{TargetName}雪白硕大的臀瓣将{Name}的胯部完全包裹，随着她起伏的节奏荡起阵阵臀波。\n突然{Name}加快了冲刺的速度，{TargetName}发出一声尖叫，她湿热紧致的小穴疯狂绞紧，
