cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,505,0,buttock_0&sys_0,{PlayerName}将{TargetName}娇小玲珑的身体抱到身前，让她背对自己坐在大腿上，双腿分开，以M字开脚的姿势跨坐，将粉嫩紧致的花穴对准{PlayerName}昂扬勃发的阳具。\n龟头在花瓣入口摩擦几下，便猛地向上一顶，坚硬滚烫的肉根劈开紧窄湿滑的阴道，直捣花心。\n小巧浑圆的翘臀死死抵住{Name}的胯部，让肉棒插入了最深处。
1,505,0,buttock_1&sys_0,{PlayerName}让{TargetName}背对自己，丰腴白嫩的大腿张开，门户大开地展露出湿润粉嫩的蜜穴，以背面坐位的体位骑在身上。\n一手搂住{TargetName}纤细的腰肢，一手扶着自己的粗硬阴茎，在阴唇外围滑动几下便腰部发力向上一顶。\n巨大的龟头破开紧致的阴道，强硬地插入到最深处。肥嫩的蜜穴被塞得满满当当。
2,505,0,buttock_2&sys_0,{PlayerName}让体态丰满的{TargetName}转过身来，丰满圆润的肉臀正对着自己的胯下缓缓坐下，肥美多汁的花穴一点点吞没{PlayerName}粗壮的阴茎。\n粗长的肉柱破开湿软的嫩肉长驱直入，硕大的龟头重重顶上花心，让{TargetName}忍不住仰头娇喘，紧致高热的阴道死死绞住肉棒。\n{TargetName}开始扭动肥嫩滚圆的大屁股主动套弄，丰腴白皙的肉臀在{Name}胯间起伏耸动。
3,505,0,buttock_0&penis_in_t_vagina&sys_0,{PlayerName}紧紧揽住{TargetName}纤细的腰肢，下身开始有节奏地耸动起来，粗长的肉棒在紧窄湿滑的阴道中快速进出，每一下都顶在最深处。\n娇小的{TargetName}被顶得身子不停耸动，小巧浑圆的翘臀也随之摆动，在{Name}胯间撞击出啪啪的肉浪声。\n肥厚的阴唇被磨得通红，阴蒂也充血肿胀，敏感的花心更是被一下下重重碾过。
4,505,0,buttock_1&penis_in_t_vagina&sys_0,{PlayerName}双手掐住{TargetName}盈盈一握的细腰，胯下猛烈耸动，粗壮的阳具在紧致多汁的蜜穴中疯狂抽插。\n硕大的龟头来回刮蹭敏感的阴道壁，湿热的嫩肉痉挛般绞紧，{TargetName}滚圆的美臀不停摆动迎合，臀浪翻飞，啪啪声不绝于耳。\n每一下都整根没入直抵花心，又快又狠，插得{TargetName}淫水四溅。
5,505,0,buttock_2&penis_in_t_vagina&sys_0,{TargetName}扣住{TargetName}的腰，下身像打桩机般疯狂耸动，肉棒在肥美多汁的花穴中快速进出。\n{TargetName}丰满肥嫩的肉臀在{PlayerName}胯间剧烈颠簸着，臀波荡漾，淫水飞溅。\n肉体撞击发出啪啪的淫靡水声，{PlayerName}尽根没入又整根拔出，用肉棒摩擦着敏感充血的阴道嫩肉。
6,505,0,buttock_0&penis_in_t_vagina&sys_0,挺立的肉棒正在紧致湿润的{TargetName}蜜穴中抽插。\n{TargetName}在{Name}胯间起伏，娇小的腰臀被{Name}有力的双手掌控着节奏。\n汗水顺着{TargetName}光滑的脊背流淌，甜蜜的娇喘从娇嫩的唇舌中溢出。
7,505,0,high_1&last_cmd_back_seat_sex&shoot_in_t_womb&shoot_in_t_vagina&buttock_1,{Name}粗大的阳具正在{TargetName}丰腴多汁的蜜壶中驰骋，浑圆挺翘的美臀在{PlayerName}怀中摇摆，柔软的臀肉被{PlayerName}的手托着分开在两侧揉捏变形。\n媚人的呻吟从{TargetName}花瓣般的唇中溢出，整个房间弥漫着旖旎的气息，伴随着{Name}一记深深的顶弄，{TargetName}香汗淋漓的胴体猛然绷紧。
8,505,0,high_1&last_cmd_back_seat_sex&shoot_in_t_womb&shoot_in_t_vagina&buttock_2,{Name}狰狞的巨物正在{TargetName}肥美多汁的秘裂中驰骋，搅弄着发出啪唧啪唧的水声。\n{TargetName}硕大的臀瓣将{Name}的胯部完全包裹压紧，随着起伏的节奏荡起阵阵臀波。\n淫靡的水声和肉体撞击声此起彼伏，丰满的胸脯在{PlayerName}从身后抱住的手中变换着形状。
9,1009,0,penis_in_t_vagina,在一阵疾风骤雨般的抽送后，{Name}闷哼一声，滚烫的精华喷涌而出，尽数浇灌在{TargetName}颤抖的花心深处。
10,1009,0,penis_in_t_vagina,{Name}咬紧牙关，将浓稠滚烫的阳精尽数射进{TargetName}娇嫩的阴道。
11,1009,0,penis_in_t_vagina,突然{Name}加快了冲刺的速度，迫使{TargetName}湿热紧致的小穴疯狂绞紧。\n再也把持不住的{Name}，低吼着将滚烫粘稠的浓精喷射在{TargetName}痉挛抽搐的嫩肉深处。
12,1207,0,last_cmd_back_seat_sex&CVP_A1_T|128_G_0,背对着坐在怀中的{Name}扭动肥嫩滚圆的大屁股接受着{PlayerName}的抽送，但无论怎么用力顶弄，丰满的臀瓣只会稳稳地坐在肉根上，泛起勾人的肉浪。\n用股间丰满的包裹感好好地承接住{PlayerName}狂暴的欲望，刺激着{PlayerName}更加快了交配的速度顶弄起柔软的花心。
13,1207,0,last_cmd_back_seat_sex&CVP_A1_T|127_G_0,{Name}充满雌性魅力的美臀坐在{PlayerName}的股间被坚挺的肉根插着，下流地漏出淫水，在激烈地抽送下不禁缩紧了阴道绞在了{PlayerName}的肉茎上。
14,1207,0,last_cmd_back_seat_sex&CVP_A1_T|126_G_0,{Name}娇小的臀部被{PlayerName}用力地顶起，接着啪唧地发出响亮的撞击声，深深地坐回到了坚挺的雄根上，从紧密地缠绕在一起的花心深处传来了强烈的酥麻快感。
