cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_a_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3,一股沉闷的热流毫无预兆地从{anus}深处骤然拧成了一团，一直感受不到什么强烈快感的{TargetName}猛地绷紧了幼小的身体。\n那种一直以来只有胀满和异物压迫的迟钝地方，此刻竟被一波完整而清晰的酥麻彻底点燃，快感像温热的浪一层层从{anus}深处漫过稚嫩的小腹，漫过纤细的腰肢，令她整个小小的身子都不受控制地颤抖起来，脑袋里嗡的一下变得晕乎乎的，什么都想不清楚了。\n{anus}一下又一下强烈而有节奏地收缩痉挛着，那股陌生的快意来得又急又猛，令幼小懵懂的{TargetName}完全没有料到自己那个平时没什么感觉的地方竟会涌出这样完整的绝顶，她惊慌地弓起小腰，纤细的四肢绷得紧紧的。\n意识在那一刻开始变得模糊，稚嫩的心里塞满了搞不明白的慌乱与浓浓的羞涩，小小的心脏怦怦地狂跳着，她隐隐约约感觉到{anus}里有一丝温热的肠液正悄悄渗出来，那种湿滑的羞耻感令她的脸颊涨得通红。\n那阵完整的绝顶慢慢退去，{TargetName}还沉浸在方才那股席卷全身的愉悦里回不过神，小腹还在一抽一抽地余颤着，幼小的身体软绵绵的，心里被那种从未体验过的满足感填得满满的，既甜蜜又茫然，久久缓不过来。
1001,action_part_a_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3,迟钝了许久的{anus}深处，忽然拧出一股完整而鲜明的热潮，令一向对后穴刺激没什么反应的{TargetName}整个人猛地一颤。\n那种平日里只觉得被填满、被撑开的地方，此刻竟涌起了一阵接一阵扎实的快感，酥麻如潮水般从{anus}深处一波波涌向幼嫩的小腹，钻进纤细的腰肢，令她小小的身体绷紧又发软，双腿无意识地并拢夹紧，脑子里一片混沌，什么都抓不住了。\n{anus}强烈而有规律地一缩一缩，那股扎实的绝顶感令幼小的{TargetName}惊愕不已，她从没想过那个迟钝的地方也能带给自己这样完整的高潮，稚气的脸上写满了茫然，小嘴无声地张着，纤细的手指紧紧攥成了小小的拳头。\n意识开始变得朦胧起来，懵懂的心里翻涌着说不清楚的羞涩与惊慌，小小的心脏跳得又快又乱，她能清楚地感觉到{anus}正一点点渗出温热的肠液，那种滑腻的湿意令她又羞又怕，却又无力压制那股席卷而来的快意。\n等那阵完整的高潮渐渐平息，{TargetName}还愣愣地喘着气，幼小的身体瘫软下来，小腹残留着一下一下的余颤，心里塞满了从未有过的满足与迷乱，那股陌生而甜美的余韵在稚嫩的身体里久久回荡，令她怎么也回不过神。
1002,action_part_a_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3,那个一直没什么感觉的{anus}深处，蓦地腾起一股完整而灼热的快意，令{TargetName}幼小的身体骤然弓成了一道颤抖的弧。\n一直以来只有钝钝胀感的后穴，此刻竟被一波真真切切的绝顶浪潮彻底淹没，酥麻从{anus}一圈圈荡开，漫过稚嫩的小腹，渗进柔软的腰身，令她整个娇小的身子都止不住地打着颤，呼吸变得又急又乱，脑海里一片空茫。\n{anus}不受控制地强烈收缩着，一下一下抽搐得又深又密，这种完整的高潮令懵懂的{TargetName}彻底措手不及，她哪里知道那个平日里迟钝的地方竟藏着这样汹涌的快感，稚嫩的脸蛋涨得绯红，小腰一次次弓起又落下。\n意识在浪潮里开始模糊，幼小的心里被铺天盖地的羞涩和慌乱填满，小小的心脏擂鼓般跳着，她隐约察觉到{anus}深处有温热的肠液缓缓淌出，比先前更多了几分，那种湿黏的羞耻感令她小小的身子又是一阵战栗。\n那阵完整的绝顶终于缓缓退潮，{TargetName}软软地瘫着，久久没能回神，小腹还在细密地抽动着余韵，稚嫩的心里被一种深深的满足感占得满满当当，既甜又乱，那股席卷过全身的快意留下的余温，在她幼小的身体里迟迟不肯散去。
1003,action_part_a_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3,感官一向迟钝的{anus}里，忽然毫无征兆地凝聚起一场完整而汹涌的绝顶，令{TargetName}幼小的身体猛然绷直又剧烈地颤抖起来。\n那个平时只能感觉到被塞满的地方，此刻竟被一波扎实而清晰的快感层层推向顶点，酥麻的浪从{anus}深处翻涌而出，席卷稚嫩的小腹，冲上纤细的腰肢，令她小小的身子一阵阵痉挛，双腿绷得笔直，脑子里嗡嗡作响什么都想不成了。\n{anus}强烈而有节奏地一波波收缩着，那种完整的高潮浪头令幼小懵懂的{TargetName}完全招架不住，她惊慌地睁大了眼睛，稚气的小脸上满是搞不懂状况的茫然，纤细的四肢无助地绷紧又发抖。\n意识在快感的浪潮里一点点变得模糊，稚嫩的心里塞满了浓烈的羞涩与惊惶，小小的心脏狂跳不止，她清楚地感到{anus}正不断渗出温热滑腻的肠液，那股湿意令她又羞又慌，却怎么也止不住身体一波接一波的抽搐。\n直到那阵完整的绝顶慢慢消退，{TargetName}才软绵绵地瘫下来大口喘着气，幼小的身体还残留着细密的余颤，小腹一下一下地轻抽着，心里被一种前所未有的满足深深填满，甜美又迷乱，那份被快感淹没过的余韵在她稚嫩的身体里久久萦绕。
1004,action_part_a_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3,钝感已久的{anus}深处，冷不丁翻涌起一股完整而滚烫的快意，令{TargetName}稚嫩的身体猝然一僵，随即剧烈地颤栗起来。\n那个一向只有异物填塞感的后穴，此刻竟被一波实实在在的绝顶热浪彻底点燃，酥麻从{anus}一波波涌向幼嫩的小腹，蔓延进柔软的腰肢，令她小小的身体不由自主地弓起又痉挛，气息急促而凌乱，脑海里一片甜腻的空白。\n{anus}强烈地一缩一缩痉挛着，那股完整的高潮来得又深又满，令幼小的{TargetName}惊愕得说不出话，她从未想过那个平日里迟钝的地方能爆发出如此扎实的快感，稚气的脸颊烧得通红，小腰一次次不受控地弓起。\n意识渐渐被快感冲得朦胧起来，懵懂的心里翻腾着难以名状的羞涩与慌乱，小小的心脏怦怦乱撞，她能真切地感觉到{anus}正淌出温热的肠液，比方才更加明显，那种滑溜溜的湿感令她的小脸又羞又窘，浑身发软。\n等那场完整的绝顶终于缓缓退去，{TargetName}还沉浸在余韵里回不过神，幼小的身体瘫作一团，小腹残留着一下下细微的抽搐，心里被那股席卷全身的满足感填得满满的，既甜蜜又茫然，那份陌生的高潮余温在稚嫩的身体里迟迟不散。
