cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|75_G_0,{Name}轻轻蹲下身子，从背包中取出一个精致的小盒子，递给幼小的{TargetName}，柔声解释这是特别为她准备的礼物。\n幼小的{TargetName}好奇地接过盒子，她稚嫩的小手小心翼翼地抚摸着包装，圆圆的大眼睛闪烁着期待的光芒，娇小的身躯因兴奋而微微颤抖。\n在{Name}的鼓励下，{TargetName}拆开包装，露出了里面形状奇特的物品——一个完美复制了{Name}阴茎的硅胶倒模，每一处脉络和纹理都栩栩如生，连龟头的形状都一丝不差地呈现出来。\n{TargetName}好奇地握住这个倒模，小手几乎无法完全环绕它的粗壮，她不解地望向{Name}，纯真的脸上写满了疑惑，稚嫩的嘴唇微微张开，露出整齐的乳牙。\n当{Name}轻声解释这是他身体的一部分的复制品时，{TargetName}的眼睛瞪得更大了，她小心翼翼地用指尖触碰倒模上的每一处细节，好奇地感受着那逼真的质感和硬度。\n{TargetName}天真地询问这个东西的用途，当{Name}暗示这可以帮助她了解成人世界和练习未来可能的亲密接触时，她似懂非懂地点点头，纯真的眼神中闪过一丝懵懂的兴奋。\n她稚嫩的手指沿着倒模的长度滑动，对这个与她幼小身体极不相称的物品产生了一种奇特的依恋，甚至好奇地将它贴近自己的脸颊，感受那微凉的触感。\n{TargetName}天真地模仿着亲吻的动作，将嘴唇贴在倒模的顶端，然后疑惑地看向{Name}，寻求确认自己的动作是否正确，她的{TargetUpClothName}随着她探索的动作微微起伏。\n在{Name}的引导下，{TargetName}尝试用小手握住倒模的底部，模仿着抽插的动作，虽然她的动作生涩且不协调，但她脸上露出了认真学习的表情，仿佛这是一项重要的任务。\n{TargetName}将倒模小心地抱在胸前，承诺会好好珍藏这份特别的礼物，并且在私下里练习使用它，她纯真的笑容下隐藏着对未知世界的好奇和对{Name}的依恋，娇小的身体似乎已经开始期待着未来可能的探索。
1001,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|75_G_0,{Name}慢慢靠近幼小的{TargetName}，从怀中掏出一个包装精美的小盒子，笑着说这是专门为她挑选的礼物。\n{TargetName}天真地伸出小手接过礼物，她稚嫩的面庞因兴奋而泛起红晕，娇小的身体几乎没有任何发育的迹象。\n她迫不及待地拆开包装，当看到盒子里那个形状特殊的物品时，疑惑地歪着头——那是一个完美复制了{Name}阴茎的倒模，从硕大的龟头到突起的脉络，每一处细节都栩栩如生。\n{TargetName}好奇地拿起倒模，小手甚至无法完全握住它的粗壮，她用稚嫩的手指轻轻抚摸着表面的纹理，对这个奇怪形状的物品充满了好奇。\n当她无意中触碰到倒模底部的两个圆球时，惊讶地看向{Name}，纯真地询问这是什么，完全不知道自己手中握着的是一个成人性玩具的复制品。\n{Name}轻声解释这是他身体的一部分时，{TargetName}的眼睛瞪得大大的，她再次低头审视这个倒模，似乎在想象它与{Name}真实身体的对应关系，小脸上浮现出既困惑又好奇的表情。\n{TargetName}天真地问这个东西有什么用，当{Name}含蓄地暗示这可以帮助她了解成人世界时，她似懂非懂地点头，稚嫩的嘴唇微微张开，展现出对新事物的接受与好奇。\n她小心翼翼地用指尖描绘倒模上的每一处细节，仿佛在学习和记忆，偶尔还会将它贴近自己的脸颊，感受那微凉又柔软的触感，{TargetUpClothName}随着她好奇的动作微微起伏。\n在{Name}的鼓励下，{TargetName}尝试着将倒模的顶端轻轻抵在自己的嘴唇上，纯真地模仿着亲吻的动作，然后抬头望向{Name}，寻求肯定和进一步的指导。\n{TargetName}将倒模小心地抱在胸前，承诺会在私下里好好研究这个特别的礼物，她天真无邪的笑容中带着一丝对未知世界的向往，娇小的身体看起来与这个成人玩具形成了强烈的对比，却也暗示着未来可能的亲密探索。
1002,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|75_G_0,{Name}俯身靠近幼小的{TargetName}，掏出一个精致的小盒子，温柔地解释这是专门为她准备的特别礼物。\n{TargetName}兴奋地接过盒子，她稚嫩的小手迫不及待地摆弄着包装，圆圆的大眼睛闪烁着童真的光芒，娇小的身躯在{TargetUpClothName}的包裹下显得更加幼小脆弱。\n当她拆开包装，看到里面那个形状独特的物品时，惊讶地张大了嘴——一个完美复制了{Name}阴茎的硅胶倒模静静地躺在盒子里，从粗壮的柱身到饱满的龟头，每一处细节都精确再现。\n{TargetName}好奇地拿起倒模，她的小手几乎无法完全环握住它的粗壮，稚嫩的手指轻轻抚过表面的每一处脉络和褶皱，对这个形状奇特的物品充满了好奇。\n她疑惑地抬头看向{Name}，纯真地询问这个东西是什么，完全不理解自己手中握着的是一个成人性器官的复制品，更不知道它的真正用途。\n当{Name}轻声解释这是他身体的一部分的复制品时，{TargetName}的眼睛睁得更大了，她再次低头打量这个倒模，小脸上写满了惊讶与好奇，稚嫩的嘴唇微微张开，露出一丝天真的微笑。\n{TargetName}天真地将倒模靠近自己的脸颊，感受那微凉的触感，然后好奇地问这个东西应该怎么玩，她的{TargetUpClothName}随着她探索的动作轻轻起伏，展现出下面的柔软胸部。\n在{Name}的引导下，{TargetName}尝试用小手握住倒模的底部，笨拙地模仿着抽插的动作，她的动作虽然生涩，但眼神中却充满了学习的热情，仿佛这是一项重要的技能。\n她甚至大胆地将倒模的顶端轻轻贴在自己的嘴唇上，纯真地模仿着亲吻，然后抬头看向{Name}，脸上带着既天真又期待的表情，寻求更多的指导和肯定。\n{TargetName}小心地将倒模放回盒子里，郑重地承诺会好好保管这份特别的礼物，并在私下里练习使用它，她纯真的笑容中隐藏着对未知世界的好奇，娇小的身体与这个成人玩具形成鲜明对比，却也暗示着{Name}对她未来的期待。
1003,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|75_G_0,{Name}缓缓弯下腰，与幼小的{TargetName}视线平齐，从口袋中取出一个包装精美的小盒子，笑着说这是特意为她准备的惊喜。\n{TargetName}欣喜地接过礼物，她稚嫩的小手颤抖着拆开包装，圆圆的大眼睛里充满期待，娇小的身体因为兴奋而微微晃动，{TargetUpClothName}下平坦的胸部没有任何发育的迹象。\n当盒子打开，里面露出的物品让她困惑地皱起眉头——一个形状独特的硅胶制品，完美复制了{Name}阴茎的每一处细节，从硕大的龟头到突起的脉络，甚至连底部的囊袋都一丝不差。\n{TargetName}好奇地拿起倒模，她的小手无法完全握住它的粗壮，稚嫩的手指轻轻触碰着表面的纹理，对这个奇怪形状的物品既困惑又着迷。\n她抬头望向{Name}，纯真地询问这是什么东西，完全不知道自己手中握着的是一个成人性器官的复制品，更不了解它的真正用途。\n当{Name}解释这是他身体一部分的复制品时，{TargetName}的眼睛瞪得圆圆的，她再次低头审视这个倒模，小手不自觉地沿着柱身滑动，似乎在比较这个物品与{Name}本人的关系。\n在{Name}的引导下，{TargetName}试着将倒模的顶端轻轻抵在自己的嘴唇上，虽然龟头对于她稚嫩的小嘴来说过于巨大，但她仍然天真地尝试着轻吻它，然后抬头看向{Name}，脸上带着既困惑又好奇的表情。\n{Name}耐心地解释这个玩具可以帮助她了解成人世界的秘密，{TargetName}似懂非懂地点头，小手继续摆弄着倒模，偶尔将它贴近自己的脸颊，感受那微凉又柔软的触感。\n她天真地询问应该如何使用这个礼物，当{Name}含蓄地暗示可以用于私密部位时，{TargetName}好奇地低头看了看自己的下身，然后又看看手中粗大的倒模，脸上露出了既担忧又期待的复杂表情。\n{TargetName}小心地将倒模收好，悄悄地承诺会在私下里尝试使用这个特别的礼物，她纯真的笑容下隐藏着对未知体验的好奇，娇小的身体与这个成人玩具的巨大反差，暗示着{Name}对她未来的期待与转变。
1004,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|75_G_0,{Name}轻柔地靠近幼小的{TargetName}，从包里拿出一个包装精美的小盒子，微笑着说这是为她特别挑选的秘密礼物。\n{TargetName}高兴地接过盒子，她稚嫩的小手颤抖着拆开包装，圆圆的大眼睛里闪烁着好奇的光芒，娇小的身躯在{TargetUpClothName}下显得更加脆弱可爱。\n当盒子打开，里面露出的物品让她困惑地皱起眉头——一个形状特殊的硅胶制品，完美复制了{Name}阴茎的每一处细节，从硕大的龟头到凸起的血管，每一处褶皱都栩栩如生。\n{TargetName}好奇地拿起倒模，她的小手无法完全握住它的粗壮，稚嫩的手指轻轻触碰着表面的纹理，对这个奇怪形状的物品既困惑又着迷。\n她抬头望向{Name}，纯真地询问这是什么东西，完全不知道自己手中握着的是一个成人性器官的复制品，更不了解它的真正用途。\n当{Name}解释这是他身体一部分的复制品时，{TargetName}的眼睛瞪得更大了，她再次低头审视这个倒模，小手不自觉地沿着它的长度滑动，嘴唇微微张开，露出一丝既惊讶又好奇的表情。\n{TargetName}天真地将倒模贴近自己的脸颊，感受那微凉又柔软的触感，然后好奇地用嘴唇轻触龟头部分，纯真地模仿着亲吻的动作，接着抬头看向{Name}，脸上带着既天真又渴望肯定的表情。\n在{Name}的引导下，{TargetName}尝试用小手握住倒模的底部，另一只手轻轻抚摸着顶端，模仿着{Name}示范的动作，虽然她的动作生涩且不协调，但她脸上却露出了专注学习的表情。\n当{Name}暗示这个玩具可以帮助她了解成人世界的秘密，并可以在私下里自己探索时，{TargetName}似懂非懂地点头，小手继续摆弄着倒模，偶尔将它贴近自己的下身，好奇地感受它与自己身体的对比，脸上露出既担忧又期待的表情。\n{TargetName}小心地将倒模放回盒子，郑重地承诺会好好保管这份特别的礼物，并在私下里练习使用它，她纯真的笑容中隐藏着对未知体验的期待与向往，娇小的身体与这个成人玩具形成的鲜明对比，暗示着{Name}对她未来的期待与塑造。
1005,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|75_G_0,{Name}将一个精致的礼盒递给幼小的{TargetName}，神秘地表示这是一份特别的礼物。\n幼小的{TargetName}好奇地接过盒子，她娇小的身躯几乎被礼盒遮住，稚嫩的手指小心翼翼地解开缎带。\n当盒子打开，一个粉色的硅胶制品呈现在她眼前，形状逼真地复制了{Name}阴茎的每一处细节，从根部的褶皱到头部的冠状沟，无一不栩栩如生。\n{TargetName}眨着无邪的大眼睛，似懂非懂地抚摸着这个异物，柔软的触感让她惊讶地睁大眼，小手握住倒模的方式如同握住玩具。\n当{Name}轻声解释这是自己下体的复制品时，幼小的{TargetName}脸颊泛起红晕，目光在{Name}的胯部和手中物品之间来回游移，幼嫩的嘴唇微微张开，流露出既好奇又害羞的表情。\n她稚嫩的手指描绘着倒模上的每一条脉络，感受着这份礼物所代表的含义，纤细的身体因为兴奋而微微颤抖。\n{Name}耐心地示范如何正确握住这个倒模，{TargetName}学着{Name}的动作，小手完全无法环绕住这个对她而言过于巨大的物体，却执着地尝试着上下滑动。\n幼小的{TargetName}在{Name}的引导下，开始想象自己如何在私密时刻使用这个特别的礼物，天真的脸庞因这淫靡的想象而变得更加潮红，稚嫩的身体下意识地扭动着。\n她幼嫩的私处在想象中被这个倒模侵入的画面让她既害怕又期待，她无意识地夹紧了细嫩的双腿，藏在{TargetDownClothName}下的小穴已经开始微微湿润。\n看着{TargetName}抱着倒模离去的背影，{Name}知道这个幼小的身体即将在性事的练习中逐渐适应自己的尺寸，为将来真正的结合做好准备。
