key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,537,0,角色编号
Name,str,克丽斯腾,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,8,0,角色职业为特种
Race,int,22,0,角色种族为佩洛
Nation,int,42,0,角色势力为莱茵生命
Birthplace,int,4,0,角色出身地为哥伦比亚
Hp,int,1500,0,角色初始体力
Mp,int,1500,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,行星碎屑,1,角色信物
Introduce_1,str,莱茵生命总辖构件科主任兼联合创始人，特里蒙理工大学高能物理博士，出身于著名的莱特家族。塞雷娅称呼其为“总辖”。\n与塞雷娅是大学同学，又是最要好的朋友，心有灵犀，互相认为对方是唯一理解自己的人。两人一拍即合，一同创建了莱茵生命。但在炎魔事件后，克丽斯腾被塞雷娅指出其行为越过了她的底线，导致塞雷娅与克丽斯腾决裂，离开莱茵生命。\n\n359号基地事件期间，斐尔迪南企图架空克丽斯腾的权力，但在塞雷娅与克丽斯腾的磋商下，斐尔迪南的图谋最终失败。,1,角色介绍
A|45,int,7,0,角色学识技能为7
E|82,int,500,0,角色学识经验为500
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|106,int,1,0,角色有熟女素质
T|111,int,1,0,角色有兽耳素质
T|113,int,1,0,角色有兽尾素质
T|124,int,1,0,角色有巨乳素质
T|127,int,1,0,角色有普臀素质
T|130,int,1,0,角色有肉腿素质
T|132,int,1,0,角色有长足素质
C|5-0,str,白金大衣,1,角色上衣为白金大衣
C|5-1,str,黑色抹胸,1,角色上衣为黑色抹胸
C|11,str,黑色皮鞋,1,角色鞋子为黑色皮鞋
C|13,str,莱茵生命工牌,1,角色附属物为莱茵生命工牌
C|8,str,黑色长裤,1,角色下衣为黑色长裤
