key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,290,0,角色编号
Name,str,红豆,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,1,0,角色职业为先锋
Race,int,25,0,角色种族为萨卡兹
Nation,int,41,0,角色势力为哥伦比亚
Birthplace,int,6,0,角色出身地为卡兹戴尔
Hp,int,2500,0,角色初始体力
Mp,int,2500,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,练习用电吉他。带着它前往战场的提案被否决了。,1,角色信物
Introduce_1,str,红豆，萨卡兹人，经多项测试后许可加入罗德岛，在遭遇战、突击战、战术协同方面具有较高潜力。现于罗德岛小队担任先锋人员，在战术突袭、开辟战场等方面取得突出表现。,1,角色介绍
TextColor,str,#e51a3e,1,角色字体颜色为#e51a3e
A|41,int,1,0,角色指挥技能为1
A|42,int,2,0,角色战斗技能为2
A|44,int,3,0,角色音乐技能为3
E|85,int,100,0,角色音乐经验为100
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|2,int,1,0,角色有Ｕ处女素质
T|3,int,1,0,角色有Ｗ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|103,int,1,0,角色有萝莉素质
T|112,int,1,0,角色有兽角素质
T|113,int,1,0,角色有兽尾素质
T|122,int,1,0,角色有贫乳素质
T|126,int,1,0,角色有小臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
T|150,int,1,0,角色有源石病感染者素质
C|5999,int,1,0,通用上衣
C|8999,int,1,0,通用下衣
