key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,452,0,干员编号
Name,str,豆苗,1,姓名
Sex,int,1,0,女
Profession,int,1,0,先锋
Race,int,33,0,瑞柏巴
Nation,int,41,0,哥伦比亚
Birthplace,int,4,0,哥伦比亚
Hp,int,1800,0,初始体力
Mp,int,1600,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,宠物磐蟹幼崽兑换券。经饲养人承诺并盖章，凭此券可在豆苗培育公司正式创建后，兑换领养一只磐蟹宝宝。
Introduce_1,str,专业磐蟹饲养员豆苗，出生于哥伦比亚农场主家庭，向各大公司及平台投递创业企划书未果，最终经介绍前往罗德岛就职。现已通过专项测试，作为正式干员为罗德岛提供后勤与特殊侦查作战服务。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|62,int,1,0,少女
T|70,int,1,0,兽耳
T|72,int,1,0,兽尾
T|81,int,1,0,贫乳
T|86,int,1,0,普尻
T|88,int,1,0,细腿
T|91,int,1,0,长足
C|018,int,1,0,灰色圆顶檐边帽
C|5016,int,1,0,深绿色带兜围裙
C|5017,int,1,0,白色竖纹衬衫
C|606,int,1,0,黑色抹胸
C|716,int,1,0,单边黄色橡胶手套
C|834,int,1,0,黑色背带短裤
C|1012,int,1,0,腿环
C|1015,int,1,0,黄色泡泡袜
C|1129,int,1,0,灰绿色防滑运动鞋
C|1252,int,1,0,源石弩
C|1312,int,1,0,磐蟹饲养箱
