key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,1020,0,角色编号
Name,str,焰影苇草,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,3,0,角色职业为医疗
Race,int,32,0,角色种族为德拉克
Nation,int,133,0,角色势力为深池
Birthplace,int,13,0,角色出身地为维多利亚
Hp,int,2000,0,角色初始体力
Mp,int,20000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一本用陌生语言抄下的诗歌集。她不求所有人都读懂，只希望想读这些诗歌的人有可以栖身的一隅。,1,角色信物
Introduce_1,str,苇草，驻留罗德岛的维多利亚南部办事处期间，曾提出撤离申请，近期再次成功与罗德岛建立联络。目前正以深池名义带领小股部队在维多利亚境内活动，以救助被暴力胁迫的塔拉人为主要行动目标。,1,角色介绍
A|0,int,1,0,角色Ｎ感觉为1
E|81,int,100,0,角色战斗经验为100
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|112,int,1,0,角色有兽角素质
T|113,int,1,0,角色有兽尾素质
T|124,int,1,0,角色有巨乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
C|5,str,皮质白色纹饰连衣裙,1,角色上衣为皮质白色纹饰连衣裙
C|8,str,安全裤,1,角色下衣为安全裤
C|10,str,黑色茉莉纹连裤袜,1,角色袜子为黑色茉莉纹连裤袜
C|11,str,黑色长筒靴,1,角色鞋子为黑色长筒靴
