key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,502,0,干员编号
Name,str,夜刀,1,姓名
Sex,int,1,0,女
Profession,int,1,0,先锋
Race,int,1,0,鬼
Nation,int,4,0,行动组A4
Birthplace,int,3,0,东
Hp,int,1500,0,初始体力
Mp,int,1200,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,静静躺在漆盒中的泛黄残卷。记载着刀术练习里最晦涩的一类理论知识：平静。
Introduce_1,str,基础干员之一，同时也是他们的组长，忠诚可靠的武士。
A|0,int,1,0,N感觉
E|81,int,100,0,战斗经验
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|86,int,1,0,Ｃ敏感
T|104,int,1,0,少女
T|112,int,1,兽角
T|123,int,1,普乳
T|127,int,1,0,普臀
T|129,int,1,0,细腿
T|131,int,1,0,小足
T|150,int,1,0,源石病感染者
T|274,int,1,0,坚强
C|101,int,1,0,黑色眼部面具
C|351,int,1,0,罗德岛干员胸牌
C|501,int,1,0,罗德岛制服夹克
C|5024,int,1,0,灰色羊绒衫
C|829,int,1,0,黑色百褶短裙
C|1052,int,1,0,黑色连裤袜
C|1133,int,1,0,黑色扣带中筒皮靴
C|1253,int,1,0,罗德岛制式刀
