key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,891,0,角色编号
Name,str,娜斯提,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,4,0,角色职业为术师
Race,int,25,0,角色种族为萨卡兹
Nation,int,42,0,角色势力为莱茵生命
Birthplace,int,6,0,角色出身地为卡兹戴尔
Hp,int,1500,0,角色初始体力
Mp,int,1000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,研究装置,1,角色信物
Introduce_1,str,莱茵生命工程科主任，女妖，因为厌倦战争离开卡兹戴尔来到哥伦比亚并进入莱茵生命，梦想是建设能够飞在空中的移动城市作为萨卡兹的应许之地。其构建的空间结构被塞雷娅认为不符合安全规范但却能够自洽。协助克丽斯腾建设万星园，希望能通过这次的数据接近自己的目标。事件结束后与缪尔赛思一起参加了赫默的伦理会议。,1,角色介绍
A|42,int,2,0,角色战斗技能为2
A|45,int,3,0,角色学识技能为3
E|81,int,25,0,角色战斗经验为25
E|82,int,50,0,角色学识经验为50
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|112,int,1,0,角色有兽角素质
T|113,int,1,0,角色有兽尾素质
T|123,int,1,0,角色有普乳素质
T|127,int,1,0,角色有普臀素质
T|130,int,1,0,角色有肉腿素质
T|131,int,1,0,角色有小足素质
C|5,str,通用上衣,1,角色上衣为通用上衣
C|8,str,通用下衣,1,角色下衣为通用下衣
