cid,name,type,time,difficulty,money,introduce
菜谱id,菜谱名字,菜的类型（0正餐1零食2饮品3酒类8加料咖啡9其他）,烹饪时间,烹饪难度,价格,说明介绍
int,str,int,int,int,int,str
0,1,0,0,0,0,0
菜谱配置,,,,,,
0,两面包夹芝士,0,5,0,0,适合搭配没有味的白开水。
1,炭烤沙虫腿,1,30,0,0,作为小零食来说，还是挺有嚼劲的。
2,卷心果蔬沙拉,0,15,1,0,暂无说明
3,蘑菇馅饼,0,60,3,0,暂无说明
4,千层酥,0,120,2,0,暂无说明
5,苹果派,0,60,2,0,阿普鲁派，迪奥工坊出品
6,生菜汉堡（芙蓉健康餐）,0,60,10,0,暂无说明
7,混合沙拉（芙蓉健康餐）,0,60,10,0,暂无说明
8,水晶壳饺,0,120,5,0,皮白入雪，薄入纸，半透明，内陷隐约可见，吃起来爽滑鲜甜，美味诱人。
9,豉汁羽爪,0,120,5,0,酥软又弹牙，看似完整，吃起来却酥糯。
10,干蒸兽肉,0,120,5,0,暂无说明
11,山竹瘦肉丸,0,120,5,0,暂无说明
12,乌萨斯列巴,0,40,1,0,一种来自乌萨斯的食物，吃起来有一股子浓烈的发酵味儿。就是酸。
13,脱水仙人掌干,1,20,0,0,这种干缩的奇怪植物看起来并不好吃，而玻利瓦尔人则拿它来泡水喝。
14,风干大蕉果,1,30,0,0,蕉兰果是一种生长在干旱地区的水果，口味极佳，风干后更容易保存。
15,沙虫罐头,0,45,2,0,“切碎的沙虫用橄榄油浸泡，散发着自然的清香！”广告是这么说的，别当真。恶......
16,香草沙士汽水,2,5,0,0,玻利瓦尔本地的廉价饮料，拥有上百年历史，混合多种香料，特点是不好喝。
17,丰蹄能量饮料,2,5,0,0,“你以为拜松凭什么能骑自行车追上德克萨斯？”
18,辣椒老妈,2,5,0,0,来自炎国某个西南移动城邦的特色饮料，口味辛辣，据说也是一种调料。
19,荒地龙舌兰,3,5,0,0,原产自玻利瓦尔的廉价蒸馏酒，味道很冲，广受哥伦比亚拓荒者的好评。
20,摩根队长佳酿,3,5,0,0,一种产自伊比利亚地区的酒，在维多利亚中部城市大受欢迎，现已停产。
21,生命之水,3,5,0,0,度数奇高的乌萨斯烈酒，上头，据说一个健康的乌萨斯人能干掉好几瓶。
22,皇家利口酒,3,5,0,0,已灭亡国家“高卢”的好酒，现在成为了收藏家手中的珍惜奇货，价格不菲。产地现处莱塔尼亚境内，工艺则已经失传。
23,彼得海姆热销饼干,1,5,0,0,因保存不善而多有碎裂的袋装零食，虽有残缺，但外表依旧可爱，好味道也不受任何影响。
24,美味的蜜饼,1,60,2,0,以淀粉与果糖制成的米诺斯传统美食，同时也是干员刻俄柏最喜爱的食物，她愿意拿任何东西交换它。
25,好看的蘑菇,9,999,999,0,散发着迷幻绚丽色彩的蘑菇，可以让你模糊现实与虚幻的差别，吃掉之后你将见到前所未见的东西。
26,烧烤味饼干,1,60,2,0,因天灾而诞生出的食品。饱含着令人无法拒绝的碳水化合物。
27,桂子落,1,120,3,0,口口绵润的糖皮月饼，色泽油亮，引人口水四溢。
28,喀兰炭烤肉排佐松露酱,0,120,2,0,维多利亚佐料配以谢拉格古法，肉排的滋味妙不可言。
29,可食用立方体,9,999,999,0,凯尔希让你面前这个固体同时兼备了营养与美味，但你还是没法确定它是怎么做出来的。
30,雷姆必拓西瓜蛋糕,0,120,2,0,一份阿米娅家乡的菜肴，团聚的时候，就是应该围在一起，吃些甜蜜蜜的东西。需要她喂你吃吗？
31,满颜色,0,120,3,0,一份鲜甜肉馅口口松脆的酥皮月饼，颜色焦黄，让人食指大动。
32,青菜萝卜罐头,0,999,3,0,克洛丝出勤时常吃的罐头，怕你不适应，特意在里面撒了些盐。
33,双人汉堡餐,0,120,3,0,从风靡多个城市的连锁快餐店中买来的双人套餐。汉堡的味道与大小都令人感到饱足，缺点是附带的冰饮肉桂医生®只有一杯。
34,速冻宫保羽兽丁,0,40,3,0,干员槐琥家乡的菜肴，虽然她并不擅长料理，但加热一份速冻食品还是没问题的。
35,笑靥开,1,120,3,0,一份玫瑰豆沙的糖皮月饼，口口绵润的糖皮月饼，色泽油亮，引人口水四溢。
36,正圆月,1,120,3,0,一份乳香云腿的酥皮月饼，口口松脆的酥皮月饼，颜色焦黄，让人食指大动。
37,咸蛋黄味巧克力,1,50,1,0,不知道为什么，自某个时间开始疯狂流行咸蛋黄味的食品。
38,商队盒饭,0,30,0,0,哥伦比亚城际商队内部发放的方便食品，油炸，热量很高，味道很好，不太健康。
39,维多利亚军粮,0,10,0,0,前维多利亚士官这么描述：“量大管饱，难以下咽，吃不死人。”
40,炭化烤肉棒,0,400,0,0,因为某人糟糕的厨艺而被烤到整个焦黑的大块带骨肉，足以成为凶器。
41,压缩糖砖,0,400,0,0,这种压缩食品的制作工艺不明，坚硬无比，甚至可以砌墙。比普通的烹饪失败产物更具杀伤力。
42,珠宝水果拼盘,0,200,4,0,萨尔贡的王储聚会上能够见到的漂亮糖果拼盘。
43,米格鲁的饼干,0,999,999,0,你偷吃她饼干！
44,一杯红茶,9,999,999,0,锡兰小姐的手艺颇受欢迎，训练结束后来一顿精致的下午茶也不是不可以。
45,芙蓉的健康餐,9,999,999,0,身体健康但是心理不太健康，只吃这样的东西就没心思作战了。
46,无限续杯气泡快乐水,0,999,999,0,只要把水倒进去，这个杯子就会产生无限的气泡快乐水，这简直是天才般的发明！你从来没有见过这种东西。
47,苦行者泡芙,1,20,0,0,行在苦路上的人们常常用这甘甜来抚慰心灵。
48,铁棍面包,0,40,0,0,坚硬的棍状面包，随身带上一根，既可以饱腹，又能够防身。
49,试制巧克力,1,20,2,0,只是将研发员个人偏爱的咸蛋黄与巧克力进行简单混合后的试制品，尚未达到能作为商品面世的水准。“还缺少酥脆的灵魂……”
50,高卢小圆饼,1,50,2,0,由于高卢圆饼的糖分高得吓人，部分店家推出了微缩版本以供顾客享用。
51,维多利亚蛋糕,0,200,3,0,纪念维多利亚常胜不败的皇帝！
52,球球果汁,3,5,0,0,说是果汁其实是酒，瓶身上标注未成年禁止饮用。原产地曾在高卢版图内，现属于维多利亚。
53,羽兽肝酱,0,999,999,0,小瓶高档羽兽肝酱，颜色鲜艳，贵族特供。
54,绿叶菜罐头,0,999,999,0,很多卡特斯相信吃下这盒罐头，他们就会变得力大无穷。出色的广告效果，业界经典成功案例。
55,叙拉古人的愤怒!,0,50,2,0,用浓郁的巧克力酱与源石虫肝作为配料的叙拉古面，有着浓郁的高卢风味，会引起叙拉古出身干员的愤怒。

999,咖啡,8,15,0,0,一杯刚刚冲泡好的咖啡，带着些许的香气，只是里面好像加了一些东西
