cid,name,type,price,info
资源id,资源名字,资源类型,资源价格,介绍信息
int,str,str,int,str
0,0,0,0,1
各类基地使用资源一览,,,,

000,无,无,0,无

001,龙门币,货币,0,由龙门发行的货币，用途广泛。
002,合成玉,货币,0,由至纯源石加工而来，混合了其他矿物以后的源石产物。以前仅能当作一些传导元件使用，现在却逐渐成为人事交互关系中令人信服的象征物。
003,至纯源石,货币,0,在工业中用量巨大的源石结晶，但有着较高的提取难度。是世界的主要能源类精加工产物，同时也是几乎所有源石技艺得以施展的根本。
004,粉红凭证,货币,0,代表可以色色的秘密凭证，可用于在成人商店兑换色情道具。

011,普通药材,材料,1000,各类常见病和内外伤治疗所用的药材。
012,矿石病药材,材料,2000,能用来制作感染抑制剂的罕见药材，来源保密。
013,工业材料,材料,2000,各类木材、土石、金属、纤维、皮革、塑料、源石矿等原材料，可以用来进一步加工。
014,科研材料,材料,5000,各类研究样本、耗材、高精设备等科研所需要的一切。
015,燃料,材料,1000,各类燃料，包括化石燃料与液化源石，用来驱动罗德岛及其他载具的航行。

021,常规药物,药剂,20000,治疗非矿石病的其他常规病症，包括外伤或常见疾病。
022,感染抑制剂小样,药剂,50000,用于应急治疗早期感染的患者，也可维持轻症患者的病情。
023,感染抑制合剂,药剂,100000,常规治疗药剂，可有效降低血液源石结晶密度。
024,感染抑制剂浓缩液,药剂,1000000,用于紧急治疗重度矿石病发作的患者，副作用较大，但见效极快。

031,鲜母乳,乳制品,2,新鲜的母乳，味道醇美，营养丰富，可以直接饮用或用来制作各种乳制品。
032,母乳酸奶,乳制品,5,鲜母乳发酵而成的酸奶，味道酸甜可口，含有丰富的益生菌。
033,母乳奶片,乳制品,5,鲜母乳制成的奶片，粉粉干脆的口感，嚼起来有浓浓的奶香。
034,母乳奶酪,乳制品,10,鲜母乳发酵而成的奶酪，味道醇厚，营养丰富，是一种高级乳制品。
035,母乳冰激凌,乳制品,10,用鲜母乳和其他配料制成的各口味冰激凌，口感细腻，甜而不腻，每一口都能感受到浓郁的奶香。
036,母乳奶粉,乳制品,10,用鲜母乳制成的奶粉，便于携带和储存，冲泡后有着接近鲜母乳的口感。
