cid,name,type,price,info
资源id,资源名字,资源类型,资源价格,介绍信息
int,str,str,int,str
0,0,0,0,1
各类基地使用资源一览,,,,

000,无,无,0,无

001,龙门币,货币,0,由龙门发行的货币，用途广泛。
002,合成玉,货币,0,由至纯源石加工而来，混合了其他矿物以后的源石产物。以前仅能当作一些传导元件使用，现在却逐渐成为人事交互关系中令人信服的象征物。
003,至纯源石,货币,0,在工业中用量巨大的源石结晶，但有着较高的提取难度。是世界的主要能源类精加工产物，同时也是几乎所有源石技艺得以施展的根本。
004,粉红凭证,货币,0,代表可以色色的秘密凭证，可用于在成人商店兑换色情道具。

011,普通药材,材料,1000,各类常见病和内外伤治疗所用的药材。
012,矿石病药材,材料,2000,能用来制作感染抑制剂的罕见药材，来源保密。
013,工业材料,材料,2000,各类木材、土石、金属、塑料、源石等原材料，可以用来进一步加工。
014,科研材料,材料,5000,各类研究样本、消耗素材、高精设备等科研所需要的一切。

021,常规药物,药剂,20000,治疗非矿石病的其他常规病症，包括外伤或常见疾病。
022,感染抑制剂小样,药剂,50000,用于应急治疗早期感染的患者，也可维持轻症患者的病情。
023,感染抑制合剂,药剂,100000,常规治疗药剂，可有效降低血液源石结晶密度。
024,感染抑制剂浓缩液,药剂,1000000,用于紧急治疗重度矿石病发作的患者，副作用较大，但见效极快。
