cid,food_id,stage,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
问题cid,食物id,烹饪阶段,问题内容,正确答案,错误答案1,错误答案2,错误答案3
int,int,str,str,str,str,str,str
0,0,0,1,1,1,1,1
水晶壳饺烹饪问题库,,,,,,,
8001,8,备料,制作水晶壳饺半透明饺皮主要应选用哪种粉？,澄面（即去筋的小麦淀粉）,普通的中筋面粉,高筋的面包粉,建筑用的水泥粉
8002,8,备料,澄面之所以能制出半透明饺皮是因为它具有什么特点？,去除了面筋只保留小麦淀粉,本身就是透明的胶质,富含大量面筋蛋白,是一种会发光的荧光粉
8003,8,备料,为增加饺皮韧性与透明度备料时常额外加入少量什么？,少许生粉或木薯淀粉,等量的全麦面粉,满满一把酵母粉,一勺洗衣粉
8004,8,备料,处理鲜虾仁制作虾馅前应先做什么？,挑去虾线并洗净沥干,直接带壳剁碎使用,连虾线一起保留增味,把活虾整只丢进馅里
8005,8,备料,为去除虾仁腥味备料时可用什么抓洗？,少许盐和生粉,大量的白砂糖,浓稠的酱油,洗洁精和清水
8006,8,备料,想让虾馅爽脆弹牙又有层次常把虾仁如何处理？,一部分剁成虾胶一部分留作虾粒,全部打成细腻的虾泥,整只虾仁不作任何处理,把虾仁晒成干硬的虾干
8007,8,备料,馅料中加入蟹肉前蟹肉应如何准备？,蒸熟后拆出蟹肉并去除碎壳,生蟹直接剁碎拌入,连壳一起打成蟹糜,把整只活蟹塞进馅里
8008,8,备料,为让虾蟹馅口感更滑润备料时可加入少量什么？,切成细粒的肥肉或猪油,一大块生牛筋,整勺干面粉,一把铁钉碎屑
8009,8,备料,想为馅料增添爽脆口感可备好什么辅料？,切成小粒的马蹄或竹笋,泡发到发软的烂木耳,一整根未清洗的胡萝卜,几颗坚硬的小石子
8010,8,备料,备料时澄面与生粉的用量应如何把握？,按适当比例称量配比,凭感觉随意抓取,生粉放得越多越好,把两种粉全部倒光不计量
8011,8,备料,处理虾仁的砧板与刀具使用前应保证什么？,干净无异味且专用于处理食材,借用刚切过生肉未洗的砧板,用沾满油污的旧刀凑合,用生锈卷刃的破刀
8012,8,备料,完成备料后各类馅料食材应如何放置？,分类盛放并暂时冷藏保鲜,全部混堆在一处常温久放,敞口摆在台面任其风干,随手扔在地上待用
8013,8,烹饪,冲烫澄面制作饺皮面团时应使用什么温度的水？,滚烫的沸水,常温的凉白开,温吞的温水,结冰的冰碴水
8014,8,烹饪,用沸水冲烫澄面时正确的做法是？,边冲边快速搅拌使其均匀烫熟,倒入开水后静置不去搅动,分多次慢慢滴入冷水搅拌,把面粉撒进锅里乱炖
8015,8,烹饪,澄面冲烫成絮状后通常还要怎样处理？,加盖稍焖片刻让其熟透,立刻摊开吹凉,马上加大量冷水降温,直接放进冰箱冻硬
8016,8,烹饪,揉制水晶饺面团时加入少量什么可使其更柔润光亮？,少许猪油或生油,一大碗清水,整块黄油生塞,几滴机油
8017,8,烹饪,烫面揉好后为防止面团表面变干应如何处理？,盖上湿布或保鲜膜防干,敞开放在通风口吹,摊平晾在阳光下,泡进一盆清水里
8018,8,烹饪,制作半透明饺皮时擀压饺皮应做到什么程度？,薄而均匀近乎透光,擀得越厚越好,厚薄不均随意压制,擀成硬邦邦的厚饼
8019,8,烹饪,包制水晶壳饺时馅料的分量应如何把握？,适量居中不撑破薄皮,尽量塞到撑满鼓胀,只放一点点几乎没馅,把馅堆到皮外溢出
8020,8,烹饪,蒸制前为防止饺子粘连蒸笼应如何处理？,垫上蒸纸或刷一层薄油,什么都不垫直接摆放,在笼底铺满干面粉,往笼里灌满清水
8021,8,烹饪,蒸制水晶壳饺时合适的火候是？,水开后用大火快蒸,全程用最小的微火慢煨,不烧开水就放进去焖,用喷枪对着饺子烧
8022,8,烹饪,蒸制水晶壳饺的时间应如何掌握？,蒸约数分钟至熟即可不宜过久,连续猛蒸半小时以上,随便蒸十几秒就出锅,蒸上一整天慢慢等
8023,8,烹饪,判断水晶壳饺是否蒸熟可以观察什么？,饺皮变得晶莹透亮且馅料熟透,饺皮颜色变得焦黄发硬,饺子在笼里跳动起来,用尺子量饺子的长度
8024,8,烹饪,蒸制时间过长容易导致什么问题？,饺皮过软破裂露馅,饺皮越蒸越硬实,馅料凭空全部消失,饺子自己飞出蒸笼
8025,8,调味,调制虾胶馅料时为提鲜可加入少许什么？,适量的盐和白糖,大量的陈醋,满满一勺辣椒面,一管牙膏
8026,8,调味,搅拌虾胶时为使其上劲弹牙正确的做法是？,顺同一方向搅打至起胶,胡乱来回搅几下即可,轻轻拌匀不用出力,用电钻高速打散
8027,8,调味,为让虾蟹馅更加滑嫩调味时可加入少量什么？,一点点蛋清,整颗带壳的鸡蛋,一大勺干淀粉硬塞,一杯冰水猛灌
8028,8,调味,给虾蟹馅去腥提香常用的调料是？,少许白胡椒粉,大量的孜然粒,浓重的十三香,几滴风油精
8029,8,调味,想为馅料增添香气可淋入少许什么？,几滴芝麻香油,一大勺生抽泡着,满满一碗料酒,一勺食用色素
