cid,food_id,stage,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
问题cid,食物id,烹饪阶段,问题内容,正确答案,错误答案1,错误答案2,错误答案3
int,int,str,str,str,str,str,str
0,0,0,1,1,1,1,1
山竹瘦肉丸烹饪问题库,,,,,,,
11001,11,备料,制作山竹瘦肉丸时选用哪种猪肉部位最为合适？,纤维紧实的猪后腿瘦肉,脂肪偏多的五花肉,带筋膜较多的猪腱肉,已经发臭变绿的隔夜肉
11002,11,备料,处理山竹取果肉时正确的剥取方式是？,沿外壳横向切开取出白色果肉,用力捏裂硬壳后掰出果肉,直接用指甲抠开厚壳取肉,连同紫色硬壳一起剁碎放入
11003,11,备料,为使肉丸口感弹牙备料时瘦肉应如何处理？,先剁成肉糜再反复捶打上劲,粗略切成小丁稍微剁几下,用机器短暂打成粗颗粒,整块瘦肉不作处理直接下锅
11004,11,备料,备料时去除瘦肉血水较合适的做法是？,用清水浸泡片刻后沥干,沸水快速汆烫一下表面,撒大量盐腌渍后再挤干,把肉泡进洗洁精水里清洗
11005,11,备料,挑选山竹时较为新鲜的判断标准是？,外壳暗紫且按压略有弹性,外壳颜色越浅越新鲜,壳硬如石毫无弹性的最好,已渗汁发霉的果实最香甜
11006,11,备料,山竹果肉在拌入肉馅前应如何处理？,去除内核后切成细小丁块,整瓣果肉直接拌入肉馅,连同硬核一起切碎拌入,把果肉扔地上踩烂再用
11007,11,备料,捶打肉糜时加入少许什么有助于提升弹性？,少量冰水或蛋清,一大勺融化的猪油,满满一碗温热清水,一勺洗衣粉增加滑感
11008,11,备料,备料阶段砧板与刀具应保持什么状态？,清洗干净并区分生熟使用,同一砧板先切水果再切肉,刀具只用清水快速冲一下,用刚切过生鱼未洗的脏刀
11009,11,备料,为增加肉丸黏性备料时可少量加入什么？,少许木薯淀粉或马蹄碎,大量面粉揉成面团状,满满一勺白砂糖增黏,挤入一管胶水增加黏性
11010,11,备料,处理瘦肉前对双手的卫生要求是？,彻底洗净双手保持清洁,只用清水草草冲一下手指,戴上手套但事先不洗手,用刚摸过垃圾的手直接抓肉
11011,11,备料,备料时山竹与瘦肉的取用比例应如何把握？,以瘦肉为主山竹适量点缀,山竹与瘦肉对半等量混合,山竹用量远多于瘦肉,只放山竹完全不放瘦肉
11012,11,备料,完成备料后台面应保持什么状态？,整洁有序食材分类摆放,生熟食材随意混堆一处,刀具食材凌乱摊在水渍中,台面上洒满血水与垃圾
11013,11,烹饪,把肉馅做成丸子时较合适的手法是？,用手掌虎口挤出大小均匀的丸子,用两把勺子随意刮成不规则块,把肉馅捏成扁平的肉饼,把肉馅胡乱揉成一大团下锅
11014,11,烹饪,汆煮瘦肉丸时水温应如何控制？,水将沸时下丸保持微沸,大火滚沸状态下持续猛煮,在冷水中长时间慢慢加热,把丸子扔进滚油里炸到焦黑
11015,11,烹饪,肉丸下锅后判断是否煮熟的合适方法是？,丸子浮起且内部不见血色,仅凭下锅计时一到就捞出,表面一变色立刻就捞起,贴着耳朵听丸子的声响
11016,11,烹饪,为保持肉丸弹嫩煮制时火候应如何？,中小火保持汤面微微滚动,始终大火让汤剧烈翻滚,极小火让水面几乎不动,把火开到最大烧干锅底
11017,11,烹饪,下丸子时为避免粘连较好的做法是？,逐个下锅并轻轻推动汤水,一次性把全部丸子倒入,把丸子紧紧堆叠在锅底一角,用锅铲把丸子用力压扁
11018,11,烹饪,山竹瘦肉丸适合采用哪种烹饪方式？,清水或高汤汆煮成丸汤,裹厚面糊后高温油炸,放进烤箱长时间干烤,放微波炉里加热到爆开
11019,11,烹饪,煮丸子前想让汤底更鲜可以怎么做？,用清淡高汤代替部分清水,往水里倒大量酱油上色,加入浓重香料把汤煮黑,往汤里倒一瓶汽水增味
11020,11,烹饪,煮制过程中表面出现浮沫应如何处理？,用勺子轻轻撇去浮沫,搅拌让浮沫重新混进汤里,不去理会任由浮沫沉积,凑近往锅里吹气把沫吹散
11021,11,烹饪,想让肉丸成形稳固入锅前可先怎么做？,捏好后稍稍静置定型,捏好立刻用力抛进沸水,捏好后反复揉搓使其松散,把丸子冻成硬块再煮
11022,11,烹饪,煮山竹瘦肉丸时山竹丁何时加入较好？,丸子将熟时再放入略煮,一开始就与丸子同时久煮,全程大火与丸子一起猛煮,等汤煮干后再撒上山竹丁
11023,11,烹饪,煮制时间过长会使肉丸出现什么问题？,肉质变老发柴失去弹性,丸子表面瞬间焦糊发苦,丸子立即化成一摊肉泥,丸子会自己跳出锅外
11024,11,烹饪,烹饪完成后应如何处理成品？,关火及时盛出避免久泡,关火后让丸子长泡汤中,继续大火把汤汁烧干为止,直接把热锅扣在桌上走开
11025,11,调味,山竹瘦肉丸调味时为突出鲜味较合适的是？,加入适量盐提鲜即可,放入大量盐让味道更重,完全不放盐保持寡淡,把盐换成等量的洗衣粉
11026,11,调味,拌肉馅时加入少许什么能去腥增香？,少量姜末与白胡椒粉,一大勺浓郁的孜然粉,满满一勺辛辣辣椒面,滴入几滴机械润滑油
