cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_sex,0,to_do,{Name}被{PlayerName}夺走了纯洁的处女之身\n剧烈的破瓜之痛让{Name}的身体无意识地绷紧，随着处子血的流出，{Name}也逐渐开始适应这种疼痛，以及与疼痛一起涌上来的奇妙快感\n{Name}的人生被烙上了{PlayerName}的印记

991,first_sex,0,dr_position_normal&CVP_A1_T|102_E_1&CVP_A1_G_E_-2,{PlayerName}轻柔但坚定地将幼小的{Name}放在身下，作为驯服的部下，她虽然年幼却理解这是上司的命令。\n{PlayerName}分开她稚嫩的双腿，娇小的身体在成人面前显得格外脆弱。\n尽管{Name}对性事懵懂无知，但她那驯服的眼神中流露出对上司的绝对信任，似乎已做好承受一切的准备。\n{PlayerName}粗壮的阴茎抵在她幼嫩的入口处，仅是尺寸对比就令人怀疑这是否可行。\n随着缓慢的推进，{PlayerName}很快感受到处女膜带来的阻力，那层薄膜象征着{Name}的纯洁与童贞。\n{PlayerName}稍稍后撤，然后腰部用力一挺，硕大的龟头瞬间撕裂了那层脆弱的屏障。\n{Name}的小脸因突如其来的疼痛而扭曲，但作为驯服的部下，她咬紧牙关，努力不让痛呼声泄露。\n鲜红的处女血从交合处流出，在苍白的肌肤上形成鲜明对比，宣告着她纯真的终结。\n{PlayerName}没有给她太多适应的时间，继续将阴茎向深处推进，每前进一分都感受到极致的紧致与阻力。\n{Name}的小腹被粗大的肉棒顶出一个明显的形状，她的内壁因紧张而不断收缩，给予{PlayerName}无与伦比的快感。\n尽管疼痛难忍，{Name}还是努力保持着专业的态度，像执行任何其他任务一样接受着上司的“特殊要求”，这种驯服的表现让{PlayerName}的征服欲得到极大满足。
992,first_sex,0,dr_position_normal&CVP_A1_T|102_E_1&CVP_A1_G_E_-2,博士将驯服的幼女部下{Name}平放在身下，她娇小的身躯在他的掌控之下显得异常脆弱。\n{Name}虽年幼却已习惯服从上司的指令，此时她的眼神中混合着忐忑和对博士的信任。\n{PlayerName}的手抚过她尚未发育的平坦胸部，然后向下移动到那个未经人事的私密之处。\n当粗壮的阴茎抵上她粉嫩的入口时，{Name}因本能的恐惧而微微颤抖，但并未试图拒绝这位她深信的上司。\n{PlayerName}俯身压上她娇小的身体，龟头缓慢挤入那个狭窄的甬道，很快便触到了处女膜的阻隔。\n博士深吸一口气，腰部猛地用力，粗大的性器瞬间突破那层薄膜，占有了这具纯洁的身体。\n{Name}全身绷紧，小手无力地抓挠着身下的表面，眼中涌出生理性泪水，但她依然保持着对上司的服从。\n鲜血从交合处流出，染红了两人的结合点，{PlayerName}感受到极致的紧致包裹，继续向更深处挺进。\n{Name}的小腹被顶出一个明显的形状，内脏似乎都被挤压到一旁，她的身体以这种方式被彻底标记。\n尽管疼痛剧烈，她仍努力配合博士的动作，像完成任何工作任务一样专注，这种驯服的态度让{PlayerName}的占有欲得到极大满足。\n{PlayerName}的整根阴茎完全没入那个幼小的身体，两人的结合处因尺寸差异而被撑到极限，没有一丝褶皱。
993,first_sex,0,dr_position_normal&CVP_A1_T|102_E_1&CVP_A1_G_E_-2,{PlayerName}将驯服的幼女部下{Name}摆成正常体位，自己则跪在她两腿之间。\n{Name}虽然年幼，但作为训练有素的部下，她理解这是来自上司的另一种“特殊任务”，眼神中流露出紧张却坚定的服从。\n{PlayerName}的手指轻轻抚过她幼嫩的阴唇，那里粉嫩而紧闭，显然从未被任何人触碰过。\n当博士粗壮的阴茎抵上那个狭小的入口时，视觉上的强烈反差令人心跳加速——成人的性器与幼女的私处形成了惊人的对比。\n{Name}的身体因紧张而微微颤抖，但她没有退缩，而是像执行任何命令一样，努力放松自己的身体。\n{PlayerName}缓慢推进，龟头艰难地挤入那个狭窄的甬道，很快便触到了处女膜的阻隔。\n博士双手固定住{Name}的腰肢，然后猛地一挺，粗大的性器直接撕裂了那层象征纯洁的薄膜。\n{Name}的身体因突如其来的剧痛而弓起，一声痛呼险些脱口而出，但她迅速咬住下唇，保持着部下应有的克制。\n鲜血从交合处流出，在两人结合的地方形成了醒目的印记，{PlayerName}继续向深处推进，享受着这种极致的紧致感。\n{Name}的小腹被顶出一个明显的凸起，勾勒出阴茎的形状，这种视觉冲击让博士的征服欲望更加高涨。\n尽管疼痛难忍，{Name}仍保持着驯服部下的专业态度，努力配合上司的动作，她的表情虽然痛苦却透着对职责的坚守。
994,first_sex,0,dr_position_face_hug&CVP_A1_T|102_E_1&CVP_A1_G_E_0,博士将幼小的{Name}抱起，让她面对自己，双腿环绕在自己的腰部。\n{Name}因陌生的姿势而紧张不安，小手扶在博士的肩膀上保持平衡。\n博士用一只手稳稳托住{Name}纤细的腰肢，另一只手扶着自己粗大的阴茎对准她稚嫩的阴户。\n当龟头接触到那娇嫩的入口时，明显的尺寸差异让人怀疑这是否可行。\n博士缓缓向上顶，龟头慢慢挤入那紧闭的阴道口，很快就触碰到处女膜的阻碍。\n{Name}因异物入侵而不适，小脸皱起，眼中满是困惑，不明白为何这个陌生人要对她做这样的事。\n博士深吸一口气，腰部猛地一挺，阴茎强行突破了那层薄膜。\n处女膜被撕裂的瞬间，{Name}全身剧烈颤抖，发出痛苦的呜咽，泪水不受控制地涌出。\n鲜血从交合处流出，顺着博士的阴茎滴落。\n博士并没有就此停止，而是继续向上顶入，粗大的阴茎一寸一寸撑开那从未被侵犯过的甬道。\n{Name}的小手紧紧抓住博士的衣领，指节因用力而发白，娇小的身躯在每一次顶入时都会微微颤抖。\n最终，博士的整根阴茎全部埋入她幼小的身体，两人的结合处因尺寸差异而显得格外狰狞。
995,first_sex,0,dr_position_face_hug&CVP_A1_T|102_E_1&CVP_A1_G_E_0,博士站立着，将体型娇小的{Name}抱在怀中，她的双腿被引导着环绕在博士的腰间。\n{Name}因这种陌生的亲密接触而感到不安，眼神中充满了对这个几乎不认识的人的疑惑。\n博士的双手托住她纤细的臀部，轻轻抬起，然后将硕大的龟头对准她那粉嫩的阴户。\n当阴茎前端触碰到那紧闭的花瓣时，{Name}本能地想要退缩，但被牢固地固定在原位。\n博士慢慢向上挺动腰部，龟头开始艰难地挤入那个狭窄的通道。\n很快，他就感受到了处女膜的屏障，那层薄膜成为最后的防线。\n博士稍稍后撤，然后猛地一挺，粗大的阴茎直接撕裂了那层象征纯洁的膜壁。\n随着“噗”的一声轻响，处女膜被彻底刺破，鲜血立刻从交合处溢出，沿着{Name}的大腿内侧流淌。\n{Name}因剧痛而全身僵硬，小嘴因疼痛而大张，发出无声的尖叫，泪水从她困惑的眼睛中夺眶而出，不明白为何这个陌生人要给她带来如此痛苦。\n博士稍作停顿，让她适应被撕裂的感觉，然后继续向上顶入，粗大的阴茎逐渐没入她娇小的身体。\n{Name}的小腹因被撑开而隆起，甚至可以看到阴茎的轮廓从外部显现。\n最后，博士的整根性器完全埋入她体内，两人的结合处因鲜血而泛着猩红。
996,first_sex,0,dr_position_face_hug&CVP_A1_T|102_E_1&CVP_A1_G_E_0,博士将幼小的{Name}双手抱起，让她面向自己，她不知所措地将双腿环在博士的腰间，双手本能地搂住博士的脖子。\n{Name}困惑地看着这个她几乎不认识的人，不明白即将发生什么。\n博士的一只手牢牢托住她的臀部，另一只手扶着自己已经完全勃起的阴茎，对准{Name}稚嫩的私处。\n当粗大的龟头抵上那个粉嫩的小口时，博士能感受到她身体的紧张和抗拒。\n博士缓缓用力，龟头开始一点点挤入那个窄小的入口，每前进一分都要克服极大的阻力。\n很快，阴茎头部就触到了处女膜的阻碍，博士能感受到那层薄膜的韧性和抵抗。\n{Name}的表情因不适而扭曲，小手无意识地抓紧博士的衣领，身体试图向上逃离这种侵入。\n博士双手牢牢固定住她的腰肢，然后腰部用力一挺，阴茎猛地刺穿了那层屏障。\n处女膜被撕裂的瞬间，{Name}发出一声尖锐的啜泣，全身痉挛般颤抖，小脸因剧痛而苍白。\n鲜血从两人结合处流出，染红了博士的阴茎和{Name}的大腿内侧。\n博士没有给她太多缓冲的时间，开始缓慢但坚定地继续深入，粗大的肉棒一寸寸撑开那从未被开发过的甬道。\n{Name}的内壁因紧张而不断收缩，给博士带来极致的快感。\n最终，博士的整根阴茎完全没入她娇小的身体，{Name}的小腹被撑出明显的隆起，勾勒出阴茎的形状。
997,first_sex,0,dr_position_normal&CVP_A1_T|102_E_1&CVP_A1_G_E_0,{PlayerName}博士将幼小的{Name}压在身下，面对面地分开她纤细的双腿，稚嫩的身体在陌生人的触碰下微微颤抖。\n{Name}的阴道口紧闭着，{PlayerName}的粗大阴茎顶端轻轻摩擦着那粉嫩的入口，感受到一丝阻碍，那是{Name}的处女膜。\n{PlayerName}缓缓用力向前推进，阴茎头挤开紧窄的阴唇，慢慢插入{Name}的阴道深处，处女膜的薄膜被顶到极限。\n{Name}的小脸皱起，稚气的表情中混杂着茫然和不解，她小小的手本能地抓住{PlayerName}的胳膊，却不知为何会与这个陌生上司发生这样的事。\n{PlayerName}继续深入，阴茎突破处女膜的瞬间，一丝鲜血从{Name}的阴道流出，润滑着插入的路径。\n{Name}的阴道壁紧紧包裹着{PlayerName}的阴茎，稚嫩的肉壁因疼痛而痉挛，却又因陌生快感而微微蠕动。\n{PlayerName}的腰部缓慢挺动，阴茎一点点深入{Name}的体内，直到整根粗长的肉棒完全没入那幼小的阴道。\n{Name}的腿部本能地夹紧{PlayerName}的大腿，小小的身体在压迫下发出细微的喘息，眼神游离着，似乎在质疑自己为何会献出纯真的身体。\n{PlayerName}的阴茎在{Name}的阴道里抽动着，感受着处女血的温热和紧致，稚嫩的肉壁摩擦着每一寸皮肤。\n{Name}的腰肢微微拱起，幼女的身体勉强适应着成人的尺寸，脸上浮现出困惑的表情，每一次插入都让她在疼痛中夹杂着未知的悸动。\n{PlayerName}的手掌按住{Name}的纤细腰肢，固定住她小小的身躯，继续缓慢推进，确保阴茎完全填满{Name}的阴道。\n{Name}的阴唇被阴茎撑开到极限，鲜血混合着淫水从结合处溢出。\n{Name}的眼神迷离，稚嫩的脸上泛起一抹红晕，似乎在努力理解这突如其来的感觉。\n{PlayerName}的阴茎在{Name}的阴道内缓缓抽插，每一次深入都带来剧烈的快感和疼痛交织的体验。\n{Name}的小手无意识地抓紧床单，身体微微颤抖着，似乎在承受着前所未有的刺激和冲击。
