cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,

1000,1030,0,CVP_A2_T|106_E_1,熟女体型的{Name}丰满成熟的身体在连续高潮的冲击下不停颤抖，她饱满的乳房随着急促的呼吸上下起伏，丰腴的大腿根部不受控制地痉挛着，嘴里发出沙哑而性感的呻吟声。\n{Name}尽管理论经验丰富，但这是她第一次体验如此强烈的快感，这波涛汹涌的快感让她既震惊又沉醉，她的身体比她想象中要敏感得多，下面湿得一塌糊涂，每一次高潮都像电流般传遍全身。\n成熟的{Name}开始将{PlayerName}视为一个特别的存在，是能给她带来极致体验的人。\n她会用充满欲望的眼神看着{PlayerName}，在对方靠近时呼吸变得急促，丰满的胸部微微挺起，成熟的嘴唇微微张开，流露出对下一次欢爱的期待。\n
1001,1030,0,CVP_A2_T|106_E_1,熟女体型的{Name}丰满的身体承受着连续的高潮，她肉感十足的臀部在每次快感袭来时都会不受控制地抬起，成熟的手指紧抓着{PlayerName}的背部，嘴里发出淫荡的浪叫。\n对于多年单身的{Name}来说，这种强烈的性快感既陌生又刺激，她感到既羞耻又兴奋，不知道为什么自己的身体会比年轻女孩还要敏感，但又忍不住想要更多。\n{Name}开始对{PlayerName}产生一种特殊的依恋，她觉得只有{PlayerName}才能满足她长久以来被压抑的欲望。\n她开始主动寻求{PlayerName}的关注，会用熟练的手段挑逗对方，丰满的胸部有意无意地蹭过{PlayerName}的手臂，成熟的红唇微微张开，眼神中充满了欲求不满的渴望。\n
1002,1030,0,CVP_A2_T|106_E_1,熟女体型的{Name}成熟的身体在高潮的强烈冲击下不住颤抖，她丰满的乳房上覆盖着一层薄汗，成熟的阴道一阵阵收缩，嘴里发出低沉而性感的呻吟。\n{Name}尽管年长，但对这种强烈的性刺激仍感到震惊，她不明白为什么{PlayerName}能让她的身体如此失控，下面流出的爱液比她年轻时还要多，全身的敏感度远超她的想象。\n尽管{Name}已经是个成熟的女人，但她已经开始对{PlayerName}产生一种特殊的依赖，在她心中，{PlayerName}是一个能满足她欲望的人。\n她开始主动靠近{PlayerName}，用饱经风霜但依然性感的眼神看着对方，丰满的臀部有意无意地蹭过{PlayerName}的胯部，展示着自己成熟女性的魅力和对性的渴望。\n
1003,1030,0,CVP_A2_T|106_E_1,{Name}熟女的身躯在连续的高潮冲击下变得绯红，她丰满的臀部和大腿无力地张开，成熟的手指紧抓着{PlayerName}的手腕，发出低沉而淫荡的呻吟声。\n对于处女熟女{Name}来说，这种强烈的性快感太过猛烈，她的脑海中充满了混乱：为什么自己会在这个年纪变得如此敏感？为什么会有这么强烈的快感？她感到羞耻，但同时又忍不住想要更多。\n在{Name}成熟的心灵中，{PlayerName}已经成为了一个能给她带来特殊快乐的人。\n她开始期待与{PlayerName}的每一次接触，当看到{PlayerName}时会用充满情欲的眼神打量对方，丰满的胸部因期待而微微颤抖，成熟的大腿不自觉地夹紧，流露出一种混合着渴望和紧张的情绪。\n
1004,1030,0,CVP_A2_T|106_E_1,熟女体型的{Name}在连续高潮的刺激下浑身发热，她丰满的身体泛着潮红，成熟的手指无力地抓挠着床单，嘴里发出低沉而沙哑的呻吟声。\n对于年长的{Name}来说，这种强烈的性快感既陌生又让人上瘾，她感到既羞耻又兴奋，一方面觉得自己这个年纪还如此放荡很不应该，另一方面却又忍不住想要更多。\n{Name}开始将{PlayerName}视为一个特别的存在，是唯一能让她体验极致快感的人。\n她会在{PlayerName}出现时变得格外紧张，丰满的脸颊泛起红晕，眼神中混合着欲望和期待。\n当{PlayerName}靠近时，她会不自觉地挺起丰满的胸部，成熟的臀部微微扭动，流露出对性爱的渴望，希望再次体验那种让她全身酥麻的感觉。\n
1005,1031,0,CVP_A2_T|106_E_1,熟女体型的{Name}丰满成熟的身体被连续十几次强烈高潮冲击得瘫软无力，她肉感十足的大腿不停地颤抖，丰满的脸颊通红，嘴里发出断断续续的尖叫和喘息。\n对于熟女{Name}来说，这种过度的性刺激已经超出了她能承受的范围，但她的身体却对这种快感上瘾，越来越渴求这种感觉。\n她开始主动追求这种快感，即使知道这对她这个年纪的女人来说有些不体面，她也忍不住想要更多。\n在{Name}的心中，{PlayerName}已经变成了一个特殊的存在，是能带给她无上快乐的人。\n她开始主动寻求{PlayerName}的关注，会用充满欲望的眼神看着对方，丰满的胸部故意挤压在{PlayerName}的手臂上，成熟的红唇故意在{PlayerName}耳边吐气，暗示自己的需求，眼神中透露出不符合年龄的淫荡欲望。\n
