cid,context
文本id,文本内容
str,str
0,1
ui用的文本,
胸部绝壁精液污浊1,几滴白浊落在毫无起伏的胸口上，找不到任何可以停留的凹陷，只是贴着皮肤慢慢向下淌，仅有的两点乳头被沾湿后反而成了这片平坦上最显眼的地方，鼻尖能闻到淡淡的腥味
胸部绝壁精液污浊2,白浊在胸口铺开，没有乳沟收拢，也没有弧度分流，只能漫无目的地朝四面八方扩散，被浸透的乳晕在光滑的胸膛上浮出一圈清晰的暗色，指腹划过时几乎感觉不到任何阻碍
胸部绝壁精液污浊3,液体从锁骨一路直落到肋骨，中途没有遇到任何起伏的阻拦，在胸膛上留下几道笔直得近乎刻意的白痕，唯一被绊住的地方是那两点凸起的乳头，垂下的液滴挂在乳尖迟迟不肯坠落
胸部绝壁精液污浊4,胸口摊着厚厚一层白浊，因为无处积存，精液只能横向铺开，把从锁骨到肋骨的整片皮肤盖成一块湿冷的白，乳头彻底陷进这层浆液里，只剩两个模糊的凸点还看得出位置
胸部绝壁精液污浊5,精液在平坦的胸膛上覆成一整块均匀的白，像被人拿刷子抹上去一样毫无起伏，边缘不断有液体越过肋骨的边界向腹部滑落，皮肤被这层湿冷的东西糊住，连呼吸带来的起伏都变得迟钝
胸部绝壁精液污浊6,堆积的白浊终于超过了胸膛所能承载的厚度，反常的是，这具本该毫无曲线的身体此刻正被液体一点点垒出高度，多余的部分沿着肋骨源源不断地淌走，浓烈的腥臭随体温蒸腾上来
胸部绝壁精液污浊7,白浊在胸口积成了一片厚重的白色平原，没有沟壑分流，也没有起伏引导，液体只能向四面八方均匀地漫溢，乳头早已被埋得不见踪影，整片胸膛只剩下缓慢流动的一整块乳白
胸部绝壁精液污浊8,精液堆出的厚度已经彻底改写了这具身体的轮廓，原本一览无余的胸膛此刻鼓起了荒谬的隆起，那不是乳房，只是不断从边缘垮塌又被新液体补上的白色堆积物，沉甸甸地压在胸口
胸部绝壁精液污浊9,液体在平坦的胸前垒成了两团摇摇欲坠的白色，仿佛精液正试图替这具身体伪造出它从未拥有过的形状，每一次呼吸都让这团东西微微垮塌，又被新涌来的白浊重新填满，皮肤泡得发红刺痛
胸部绝壁精液污浊10,胸口被恐怖的量彻底吞没，那层白浊已经厚到看不出底下是平的还是鼓的，这具身体最鲜明的特征被液体抹得干干净净，只剩一大片沉重的、缓慢向下半身倾泻的白色
胸部贫乳精液污浊1,薄薄的隆起上落了几滴白浊，液体顺着那道柔和得几乎看不出的弧线慢慢滑下，被浸湿之后，原本若隐若现的乳头轮廓忽然清晰地浮了出来，湿痕所到之处泛起细弱的光
胸部贫乳精液污浊2,精液把小巧的双乳浸出湿意，那道浅得只有一指宽的乳沟盛了片刻便满溢出去，液体越过细缝流向两侧，乳晕的边界被浸得分明，胸前的一切轮廓都因这层湿润而变得比平时坦率
胸部贫乳精液污浊3,白浊沿着含蓄的曲线蜿蜒而下，在锁骨与乳房之间牵出好几条细线，浅沟里那一小汪精液随呼吸轻轻荡漾，被浸透的乳头翘立着，整片胸前像被水描过一遍似的显出了平日看不见的形状
胸部贫乳精液污浊4,厚厚的精液盖了上来，刚刚被浸润显现出的轮廓又一次消失，隆起的弧度在这层白浊之下被抹得比原本更平，细窄的乳沟填满后不断向外淌，乳头深深陷进浆液里再也找不到
胸部贫乳精液污浊5,整片胸前覆着一层浓稠的白，那点微小的起伏几乎被完全吃掉，液体在柔和的曲线上流得很慢，浅沟里蓄着的精液沿着边缘一点一点渗出来，皮肤被糊得看不出原本的颜色
胸部贫乳精液污浊6,精液堆积的厚度已经远远超过了乳房本身的高度，这具身体最纤薄的部分被浆糊般的白浊彻底盖住，浅浅的沟壑早已沉在液体底下，浓烈的腥臭在体温里发酵，令人几乎无法呼吸
胸部贫乳精液污浊7,白浊完全淹没了微隆的双乳，连那点朦胧的轮廓都被吞得一干二净，液体像厚重的奶油一样铺在胸前并持续向腹背两侧滑落，此刻胸口的高度全部来自精液，与身体本身再无关系
胸部贫乳精液污浊8,胸腔上覆着一大片沉甸甸的白色液体层，小巧的乳房在其中连一点形状都留不下，只剩白茫茫的粘稠物在缓慢蠕动，液体的重量压得胸口发闷，多余的部分沿着体侧成股淌向下半身
胸部贫乳精液污浊9,精液把整个胸部裹成了一个巨大的白色球体，那份原本纤薄含蓄的存在感被彻底掩埋，讽刺的是，此刻胸前的体积比这具身体一生中的任何时候都要惊人，皮肤被长时间浸泡得发红刺痛
胸部贫乳精液污浊10,恐怖的量在胸前堆成一整片流淌着的白色，那点曾经需要仔细看才能发现的起伏，如今被液体替换成了完全陌生的形状，整个上半身像被白泥浇灌过一样，精液成瀑布垂落到下半身
胸部普乳精液污浊1,几滴白浊落在丰满适度的乳房上，顺着那道自然的弧线滑到乳房下缘停住，乳头周围沾着少许液体，温热的触感随着每一次呼吸的起伏轻轻晃动，指尖抹过时留下滑腻的痕迹
胸部普乳精液污浊2,液体在双乳表面散开，恰到好处的乳沟里积起浅浅的一层，剩下的顺着成熟的曲线流到乳房底下汇成湿润的一片，乳晕被完全浸透，掌心贴上去能感到皮肤下柔软的弹性和黏稠的阻滞
胸部普乳精液污浊3,白浊从锁骨顺着圆润的弧面淌至乳下，在肌肤上留下蜿蜒的痕迹，乳沟里的精液随着胸口的起伏微微荡漾，被浸湿的乳头挺立着，整对乳房像裹了一层湿润的薄膜，轮廓依旧清晰可辨
胸部普乳精液污浊4,大量精液覆住整片胸部，从锁骨一直漫到乳房下缘，圆润的弧面上挂着厚重的白色涂层，乳下不断有液滴积够重量后垂落，乳沟像一只盛满的小碟子，浓烈的腥臭从胸前一阵阵涌上来
胸部普乳精液污浊5,浓稠的白浊在双乳上盖了厚厚一层，皮肤原本的颜色再也看不见，液体沿着饱满的曲线缓慢移动，乳沟里蓄着的精液满得随时会溢，乳头彻底沉了下去，胸口像涂满了厚重的乳霜
胸部普乳精液污浊6,精液厚得如同浆糊，双乳那份自然优美的形状开始变得模糊，液体层持续向下淌，乳沟里的积液随着每一次呼吸晃出细小的波纹，整片胸口都在这层白浊底下发热发闷，腥臭令人窒息
胸部普乳精液污浊7,双乳沉在白浊的海里，只剩下两团圆润的模糊轮廓还能勉强辨认，液体像厚重的奶油覆在上面，从乳房下缘持续向腹部与背部流去，乳头早已埋进精液深处再也看不见
胸部普乳精液污浊8,极度过量的精液在胸腔上铺成一整片白色液体层，乳房的形状终于被彻底抹平，只剩白茫茫的粘稠物，液体的分量压得胸口沉闷，成股的白浊沿着躯体侧面奔向下半身
胸部普乳精液污浊9,白浊把整个胸部包裹成一个巨大的球体，那份匀称迷人的曲线荡然无存，如同穿着一件沉重的液体外衣，胸腔被压得连呼吸都困难，长时间浸泡让胸前的皮肤泛起刺痛的红
胸部普乳精液污浊10,恐怖数量的精液在胸前堆成一整片有厚度的、缓慢流淌的白色，那对曾经掌心可握的乳房连一丝弧度都不剩，成熟迷人的胸型再也无从辨认，整个上半身像被白泥浇透，液体沿着躯干成瀑布倾泻到下半身
胸部巨乳精液污浊1,几滴白浊挂在高耸的乳肉上，沿着饱满的弧面向下滚，最后全都落进那道深深的乳沟里汇成一小汪，沉甸甸的乳房随着呼吸轻轻起伏，沟底那点液体也跟着来回晃了几下
胸部巨乳精液污浊2,乳沟像一条沟渠，把散落在乳肉各处的白浊统统收进去，深处已经积起看得出厚度的一洼，乳晕被浸得透湿，绕过乳房底部的液体沿着下缘一滴一滴地坠落，砸在腹部发出轻响
胸部巨乳精液污浊3,大量精液顺着高耸的弧面淌下，在丰腴的乳肉上画出弯曲的白痕，深邃的乳沟已经蓄满，只要身体稍微一动，沟里的液体就会晃出声来，乳房与胸廓贴合的那道底沟里也塞满了黏稠的白浊
胸部巨乳精液污浊4,沉重的双乳被厚厚的精液包住，乳头沉进浆液里，乳沟盛不下的部分从上缘漫出来，乳房下缘垂着一整排随时会坠落的白色液滴，每走一步这些液滴就被晃得四处飞溅，腥臭浓烈
胸部巨乳精液污浊5,白浊在乳肉上覆了厚厚一层，皮肤的颜色被完全盖住，乳沟深处积着的大量精液随着乳房的每一次摇晃剧烈翻涌，发出闷闷的水声，乳肉本身的重量再加上积液，坠得肩背隐隐发酸
胸部巨乳精液污浊6,精液厚得像浆糊，高耸的乳峰在液体底下变得模糊，乳沟里晃荡的液体已经和小水池无异，乳肉与积液的双重分量沉沉地向下坠，每一次晃动都伴随着黏腻的水声和向外泼洒的白浊
胸部巨乳精液污浊7,硕大的双乳埋进浓稠的白色液体里，只剩两团庞大而模糊的轮廓，液体像厚重的奶油从乳房下缘成幕垂落，源源不断地淌向腹部和背部，乳头深陷在精液层下再也找不到
胸部巨乳精液污浊8,胸腔被极度过量的精液盖成一整片白色，乳房的形状彻底消失，只剩白茫茫的粘稠物，乳肉与积液的双重重量压得胸口发闷，稍一动作，成股的白浊便被甩出去，砸在地上啪啪作响
